,index,code,name,grade,type,d_price,price,benefit,region_L,region_S,code_L,code_S,lat,lon
20,20,72358,강화도 황금노을펜션,펜션,pension,220000,220000,,인천,강화,300000021,200000234,37.6227413,126.3770635
21,21,82807,강화도 별빛속으로펜션,펜션,pension,300000,300000,,인천,강화,300000021,200000234,37.6807510906953,126.434778891504
22,22,77102,강화도 베로니카네집펜션,펜션,pension,250000,250000,,인천,강화,300000021,200000234,37.71423562,126.36455127
23,23,73505,인천(강화) 엠스(MS),모텔,motel,35000,35000,✨넓은 주차장 보유 / 쾌적하고 공기 좋은 숙소✨,인천,강화,300000021,200000234,37.6551738,126.4954956
24,24,77060,석모도 장구너머펜션,펜션,pension,72000,80000,,인천,강화,300000021,200000234,37.65544757,126.32841754
25,25,83950,강화도 일마레펜션,펜션,pension,100000,100000,,인천,강화,300000021,200000234,37.6018358793952,126.406218796474
26,26,88335,강화도 여름향기펜션,펜션,pension,99000,110000,,인천,강화,300000021,200000234,37.6025319784785,126.398568564536
27,27,84595,강화도(석모도) 가우디움펜션,펜션,pension,120000,120000,,인천,강화,300000021,200000234,37.6695311143105,126.34456406662
28,28,82014,"석모도 항포펜션(독채,개별바베큐)",펜션,pension,170000,170000,,인천,강화,300000021,200000234,37.7065247422995,126.28680654627
29,29,74340,강화도 마음속에그린집펜션,펜션,pension,80000,80000,,인천,강화,300000021,200000234,37.5987236701,126.4615240145
30,30,86749,강화도 877스테이펜션,펜션,pension,400000,400000,,인천,강화,300000021,200000234,37.610533397107,126.389240316593
31,31,85003,강화도 향기정원펜션(애견동반),펜션,pension,0,0,,인천,강화,300000021,200000234,37.6071825339116,126.400707786688
32,32,70953,강화도 바다소리펜션,펜션,pension,80000,80000,,인천,강화,300000021,200000234,37.6358116,126.379942
33,33,99029,강화도 쥬라기카라반,펜션,pension,69000,69000,,인천,강화,300000021,200000234,37.6002910601804,126.495715739916
34,34,72547,강화도 아라뜰펜션데이지,펜션,pension,0,0,,인천,강화,300000021,200000234,37.6838156749,126.4212809887
35,35,88108,강화도 기차여행독채펜션,펜션,pension,0,0,,인천,강화,300000021,200000234,37.7394791191368,126.381528503604
36,36,86957,강화도(석모도) 가온재독채풀빌라,펜션,pension,0,0,,인천,강화,300000021,200000234,37.6924654138904,126.343463939833
37,37,71428,강화도 해마루펜션(애견펜션),펜션,pension,149000,149000,,인천,강화,300000021,200000234,37.6091356257,126.3869646029
38,38,84925,강화도 카우스펜션,펜션,pension,120000,120000,,인천,강화,300000021,200000234,37.6206369789676,126.376978607557
39,39,86083,강화도 드림펜션,펜션,pension,150000,150000,,인천,강화,300000021,200000234,37.7214305136283,126.401978282558
40,40,93586,강화도 여해로펜션,펜션,pension,390000,390000,,인천,강화,300000021,200000234,37.6065855937596,126.401889235308
41,41,83838,강화도 아띠하우스펜션,펜션,pension,219000,219000,,인천,강화,300000021,200000234,37.7999705317033,126.415168791963
42,42,89355,강화도 마린원풀빌라가족펜션,펜션,pension,149000,169000,,인천,강화,300000021,200000234,37.6105144283125,126.385292059819
43,43,71154,강화도 마차펜션,펜션,pension,0,0,,인천,강화,300000021,200000234,37.720320876406,126.40142496977
44,44,85766,강화도 스테이문스파펜션,펜션,pension,99000,150000,,인천,강화,300000021,200000234,37.5931924531814,126.436529022356
45,45,71147,강화도 힐링11번가펜션,펜션,pension,0,0,,인천,강화,300000021,200000234,37.62165438037359,126.37983895513436
46,46,70860,강화도 499펜션,펜션,pension,120000,120000,,인천,강화,300000021,200000234,37.5967539,126.5088431
47,47,71439,강화도 물빛인쇄소펜션,펜션,pension,150000,150000,,인천,강화,300000021,200000234,37.5978117,126.4352338
48,48,76946,강화도 나니하우스펜션,펜션,pension,230000,230000,,인천,강화,300000021,200000234,37.77259445,126.50643373
49,49,76558,강화도 마리하우스펜션,펜션,pension,150000,150000,,인천,강화,300000021,200000234,37.63426349288041,126.44095676333939
